Vowel,Word,Speaker,Number,Episode,Turn,Text,Text_Subset,Text_Caption,Start,End
i,believe,Gretchen,1,3,94,"Maybe it was a neurotoxin. I mean, I think the film is trying to set up the point that it's the language, because they talk about the Sapir-Whorf Hypothesis and they talk about this idea that language can affect how you perceive the world. And I think that's the point that the film is trying to make. But i don't think we as an audience have to believe that this is a real thing that happens any more than we believe in time travel paradoxes or heptapod aliens existing in the first place.",e as an audience have to believe that this is a re,audience have to believe that this is a,1242540.0,1244279.0
i,believe,Gretchen,2,44,50,"I feel like, historically speaking, it probably was an upside-down E though because I know a lot of the IPA symbols are upside-down versions or rotated versions of existing letters because that way they didn't have to typeset new letters back in the metal printing days. But I believe you that, now that we have digital formats, schwa can have slightly different line thicknesses.","tal printing days. But I believe you that, now tha","new letters back in the metal printing days. But I believe you that, now that we have digital",525490.0,532679.0
i,believe,Gretchen,3,43,78,"I found for me that acquiring singular they, which I feel like I've done in the past couple years because I know more nonbinary and agender people who use singular they as a pronoun, and at first it took a conscious thought, which is kind of like acquiring a language but in an easier way. I also have to do this conscious thought when I'm speaking French and I'm figuring out am I using 'tu' or 'vous' or am I doing this thing in French. It takes a bit off extra thought, but it doesn't mean that adults can't acquire a language because adults clearly do learn languages. This is not learning an entire language. It's doing something like that, but I think I had to believe that it was worth doing this additional bit of conscious effort in order to actually do it.","at, but I think I had to believe that it was worth","that, but I think I had to believe that it was worth doing this additional bit of conscious",1957609.0,1961388.0
i,believe,Gretchen,4,40,82,"You're looking for an inverse Turing Test. A Turing Test is this classic test in computer conversation where, if a computer can fool a human into thinking that they're talking to another human, then they've passed the Turing Test. There are ways of passing the Turing Test if you constrain the context enough. Or if you tell people that they're talking to a child or they're talking to somebody who's on some drugs or something like this -- or a philosopher -- then they'll be more likely to believe -- these are the three kinds of people that a robot can be. But if you try to do something that's very practical or that is grounded very much in reality, then people aren't as willing to be generous with the computer's misinterpretations. Janelle, your blog post that you make the neural nets do funny things, they're really funny. And yet, I have a feeling that it's not only that the neural nets are funny, it's also that you're really good at spotting the funny bits and bringing them out to a blog post for us.",hey'll be more likely to believe -- these are the ,-- or a philosopher -- then they'll be more likely to believe -- these are the three,1491840.0,1497019.0
i,believe,Gretchen,5,15,98,"Like, 'I can't believe we've arrived at December already.'","Like, 'I can't believe we've arrived at ","G: Like, 'I can't believe we've arrived at December already.'",1038820.0,1040949.0
i,believe,Lauren,1,32,91,"Yeah. Or there's an anecdote in my thesis where I talk about going to a wedding with a bunch of people when I was doing field work. As they were going around servicing -- at a wedding you traditionally -- like any wedding across the world, it's the do you want the chicken or the fish? You feed people a lot of meat. And you feed them a lot of booze. And it's a big party. And one of the women, who was being very silly and joking around, and whenever they came around would say, 'She eats meat,' and would use the reported form to suggest that I had said that I eat meat. They're like, 'Oh, yeah. She eats meat. Oh, yeah, she drinks heaps,' which as a teetotaling vegetarian -- they know I'm a teetotaling vegetarian because they find it very funny. So, putting these words in my mouth was a big, hilarious joke for them. But they didn't honestly believe that I'd said that.",But they didn't honestly believe that I'd said tha,But they didn't honestly believe that I'd said that.,949490.0,952369.0
i,believe,Lauren,2,73,78,I believe it is etymologically related as well.,I believe it is etymologica,L: I believe it is etymologically related as well.,1009380.0,1011839.0
i,believe,Lauren,3,63,42,"I think the fact that you had to go look this up to believe me is a really great reminder that linguists don't actually know etymologies. It's something that we might hear them as stories, or we might research them. I am always pulling out my phone when people talk about etymologies or ask me etymology questions. I'm bringing up Etymonline, and I'm checking. Even if I think I know, sometimes I forget because you just wanna believe that these two words are related to each other.",ad to go look this up to believe me is a really gr,L: I think the fact that you had to go look this up to believe me is a really great reminder that,544640.0,549839.0
i,believe,Lauren,4,51,97,What's this sentence? I wanna know. I can't believe you left this until the end. This is one of those bad self-improvement life hacking podcasts all of a sudden.,e? I wanna know. I can't believe you left this unt,L: What's this sentence? I wanna know. I can't believe you left this until the end.,2138380.0,2142279.0
i,believe,Lauren,5,48,38,"Right. It is worth flagging as well, one thing that that I really noticed in the UK is obviously race and ethnicity and cultural background are something that people are very aware of and talk about a lot, but this idea of class and working class is very ingrained in the British mentality as well in a way that -- Australians are very desperate to believe that we are some kind of egalitarian society. If you speak to any Australian, they'll say they're middle class. Whereas, in Britain, everyone seemed quite okay with pointing out who was working class and who was middle class and who was posh. You had all these social markers about where you went on holiday and what supermarket you shopped at were meant to give insights into this structure of class. I found that really different to how Australians perceive themselves, and I think it also feeds into people's language choices.",ns are very desperate to believe that we are some ,that -- Australians are very desperate to believe that we are some kind of egalitarian,1002350.0,1007089.0
i,people,Gretchen,1,10,113,"It's a very nice thing for them to do, but you don't always want to be in the situation where other people are picking up the check for you.",he situation where other people are picking up the,the situation where other people are picking up the,1550820.0,1552169.0
i,people,Gretchen,2,4,41,"But I think continuing to point this out, continuing to point out that just because a word hits prominence in The New York Times, say, doesn't mean it's actually new that particular year, it may have a ten-year-old or 50 year old history among different group of people that we need to recognize.",among different group of people that we need to re,among different group of people that we need to,836839.0,837799.0
i,people,Gretchen,3,13,60,"And I think people notice this, like, when he's talking with black constituents or white constituents, like, he'll shake the hands of the white ones and he'll fist bump with the black ones and, like, his speeches and stuff.","And I think people notice this, like,","G: And I think people notice this, like,",578010.0,579659.0
i,people,Gretchen,4,83,166,"If you could leave people knowing one thing about linguistics, what would that be?",If you could leave people knowing one thing ,P: Thank you. G: If you could leave people knowing one thing,2262290.0,2265348.0
i,people,Gretchen,5,78,19,"Where was he getting this data? Like, bringing people into a lab?","his data? Like, bringing people into a lab?","Like, bringing people into a lab?",486507.0,489999.0
i,people,Lauren,1,75,115,"I guess, also, a good reminder that when you are in a fit of spicy rage that you're having an effect on the people who are around you.", having an effect on the people who are around you,having an effect on the people who are around you.,1457470.0,1459419.0
i,people,Lauren,2,81,3,"Ask us your question by following the link in the show notes by September 1st, 2023. We'll have the episode as our bonus in November 2023. Our most recent bonus episode was a discussion about linguistics and jobs, including a behind-the-scenes on a new academic paper that brings together seven years of interviews with people who have done linguistics and gone on to interesting careers.",years of interviews with people who have done ling,interviews with people who have done,64440.0,66539.0
i,people,Lauren,3,74,124,It's just one of those things where tag questions tend to be really short and reduced and get shorter as people use them more and more. Perhaps unsurprising you get them with the same shape across different languages.,duced and get shorter as people use them more and ,shorter as people use them more and more,1490700.0,1492979.0
i,people,Lauren,4,74,184,"I found the way that people do questions in conversation so interesting that I spent a whole chapter of my thesis thinking about questions in the grammar and conversations of Lamjung Yolmo, and I think it is because they bring together the phonetics with the intonation patterns and the grammar with the word choices and the word order and, unescapably, the conversational context for how people make the choices of the types of questions they ask and the types of questions that they give. [Music]",I found the way that people do questions in co,way that people do questions in,2109180.0,2110979.0
i,people,Lauren,5,73,108,"These days, a lot of people say 7,000 as their rounded off number.","These days, a lot of people say 7,000 as their","L: These days, a lot of people say 7,000 as their rounded off number.",1392540.0,1397819.0
u,blue,Gretchen,1,15,64,"But then! They asked them things like, 'Farmer Brown jumped for three minutes, Captain Blue jumped for two hours. Who jumped more?' And adults are like, yeah, this is still really obvious, and the kids were like, I don't... I don't know?","r three minutes, Captain Blue jumped for two hours","three minutes, Captain Blue jumped for two hours.",648480.0,652129.0
u,blue,Gretchen,2,15,58,"And so they got dozens of three- and six-year-olds in the lab and they asked them to compare several different pairs of durations. So their example was, 'Farmer Brown jumped for a minute, Captain Blue jumped for an hour. Who jumped more?'","ed for a minute, Captain Blue jumped for an hour. ","minute, Captain Blue jumped for an hour.",621350.0,623969.0
u,blue,Gretchen,3,3,50,"Yeah, they rented the books by the foot and they really wanted to rent the blue and cream books that Lisa had.",eally wanted to rent the blue and cream books that,wanted to rent the blue and cream books,672810.0,675359.0
u,blue,Gretchen,4,82,65,"If you want people to say, for example, a bunch of colours, you shouldn't just have them say, 'Red, orange, yellow, green.' You could instead do, 'I saw the red thing,' 'I saw the blue thing,' 'I saw the green thing.' And then you can cut out the 'red' and 'blue' and 'green' from the middle of 'I saw the whatever thing,' so that it's in the middle like that. Is that right?","e red thing,' 'I saw the blue thing,' 'I saw the g","You could instead do, 'I saw the red thing,' 'I saw the blue thing,' 'I saw the green",886060.0,892169.0
u,blue,Gretchen,5,73,67,"A nice German word. I've always thought of it as meaning -- so I think the literal cognates in English would be 'speech band,' and so sort of thinking of a band of different ways of speaking going from, say, red to blue with lots of shades of purple in between. But this also makes me think of a very obscure analogy which is -- you know what else goes in regions along an area and is characteristic of a particular region?"," going from, say, red to blue with lots of shades ","of speaking going from, say, red to blue with lots of shades of purple in between.",914400.0,919439.0
u,blue,Lauren,1,5,23,"So English has eleven colour terms I think. Let me see; red, green, yellow, blue, brown, purple, pink, orange, grey - I've only got up to nine, maybe I meant 9.","see; red, green, yellow, blue, brown, purple, pink","green, yellow, blue, brown, purple, pink,",472010.0,474619.0
u,blue,Lauren,2,5,27,"Black, white, red, green, yellow, blue, brown, pink, purple, orange, grey. That is actually cross linguistically quite a lot of words, but we can make even broader distinctions if we talk about light blue/ dark blue, warm yellow/cool yellow, off white - these kind of extra descriptors.","ite, red, green, yellow, blue, brown, pink, purple","L: Black, white, red, green, yellow, blue, brown,",482210.0,484759.0
u,blue,Lauren,3,5,57,"Yeah, there's a professional vocabulary distinction to be made there as well. I do remember reading something, and again we're into uncited anec-data here, but I do remember reading something that said professionals can discriminate with more lexical items and words, like technical words, but it doesn't necessarily mean they see more colours than people who don't have these professional words. So you might give people colour chips and one is magenta and one is russet, and people might say well they're both within red. And someone who does fabric work will know that's magenta and that's russet someone who doesn't have to discriminate will be like well this one's rustier and this one's richer red, and so they can still see the difference. It's not like not having the word prevents you. And you know, people who I'm friends with in Nepal who predominantly speak a language that doesn't have a blue-green distinction, they still see the distinction, they still prefer fabric in one colour over another one. So we're not saying anything about it affecting the way people literally see colour. I'm also going to put a link in the show notes to Randall Munroe of XKCD's colour survey from 2010. Results relatively similar to those found by Rich in the seventies except he had a few more data points. He had people labelling colours on their computers, so there's a monitor effect here, but he had almost a quarter of a million users logged on to label five million colours. So a few more data points there. There's more distinction for some colours among people who have identified in the survey as female compared to those who identify as male. It was the same set of focus colours though, so you know everyone agreed that red was red and pink was pink in the brightest shades of those, and everyone agreed that no one can spell 'fuchsia'. So it was a pretty successful study.","uage that doesn't have a blue-green distinction, t",doesn't have a blue-green distinction,1326890.0,1328569.0
u,blue,Lauren,4,82,26,"Okay. 'Please call Stella. Ask her to bring these things with her from the stone: six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.'","eas, five thick slabs of blue cheese, and maybe a ","five thick slabs of blue cheese, and maybe a snack for her brother Bob.",313840.0,317719.0
u,blue,Lauren,5,5,15,"I have, conveniently, two languages that I've learnt at two point in my life illustrate this really neatly. When I was in primary school we were 'taught' - I'll put that in some quote marks - Italian and I still remember in grade five or six you had to describe a face and I wrote, and and this will probably not be grammatical Italian because I'm remembering what eleven-year-old Lauren knew, but I wrote something like 'occhi blu', so that person has blue eyes, 'blu' being the Italian word for blue. And my Italian teacher was like 'meeeeh that's a fine... I mean, I understand what you mean but the person actually has occhi azzurro'. Or there's probably an adjective conjugation there that I need to do that I haven't done but for eyes for this Italian teacher you don't use the word 'blu' you use the word 'azzurro'. And people have argued that Italian actually has two basic colour words for what we think of as blue and 'blu' covers everything that's like royal blue and really rich blues and darker and azzurro is like light blue and sky blue. So I didn't really get it as an eleven-year-old and it's still hard for me to think of this, but then when I started learning Yolmo, which is a Tibetan language spoken in Nepal, they have one word for blue but that word also includes most of what we think of as green. And this is sufficiently common it's not that unusual for languages to have one word that covers everything we describe as blue and green and it's so common that these are often referred to as languages that have a colour 'grue', which is the word I like very much.","blu', so that person has blue eyes, 'blu' being th","person has blue eyes, 'blu' being the",229610.0,232729.0
u,through,Gretchen,1,72,129,"Some sounds -- the one that's really memorable for me is that they have gnashing of teeth in extIPA and also smacking lips and other types of whistled version of S, which I'm not gonna demonstrate because a.) I don't think I can, and b.) it might be kind of painful if you're on headphones. There's also some sounds in extIPA that are, I think, very difficult to pronounce unless you have a cleft palate because they're bringing the air through the palate in your mouth where most people don't have a hole there or through your nose and mouth at the same time, if you have a cleft palate. That's where I would look if I was looking for coughing because it seems like the kind of thing they might have done.",they're bringing the air through the palate in you,they're bringing the air through through,1365600.0,1367699.0
u,through,Gretchen,2,45,64,"Indo-European languages, for example, often have a grammatical gender distinction between masculine, feminine, and neuter. Some of them have collapsed some of those genders into just masculine and feminine, or neuter and common, with common as the collapsed masculine-plus-feminine gender. Or in some cases, like English, they only retained relics of that on the pronoun system. Algonquian languages have an animate/inanimate contrast, which is also a way of splitting things up. They also do particular things with the verb depending on whether they're dealing with animate nouns or inanimate nouns. There's a lot of ways that that animate/inanimate contrast shows up and goes all the way through the grammar.", up and goes all the way through the grammar.,contrast shows up and goes all the way through the grammar.,1280900.0,1284579.0
u,through,Gretchen,3,10,127,"-- you know, that kind of quick-wittedness and self-control and these kinds of things, and I think one of it is it gives you this practice in being very persistent and putting yourself in situations where you're uncomfortable and working through that, and I think that's one of the places where that benefit is really apparent.","ncomfortable and working through that, and I think","and working through that, and I think",1650210.0,1652429.0
u,through,Gretchen,4,6,97,"Yeah, just to realize that someone has thought this through, thinking 'ok what are all the permutations you could put your mouth in and which ones do people actually use and let's organize this'","someone has thought this through, thinking 'ok wha","someone has thought this through, thinking",1167860.0,1169869.0
u,through,Gretchen,5,47,27,I didn't think through that one very deeply.,I didn't think through that one very dee,G: I didn't think through that one very deeply.,151690.0,154739.0
u,through,Lauren,1,82,64,"In fact, a lot of phonetic elicitation is done by just getting people to say a particular single word, maybe inside a sentence, so that you get it in a more natural environment rather than just listing individual words where you get this [list intonation voice] LIST intoNATION as people READ through the LIST.",ntoNATION as people READ through the LIST.,as people READ through the LIST.,875870.0,877958.0
u,through,Lauren,2,81,37,"As we're going through these examples, I think just like we might go for a wander around the hypothetical farm we're talking about today, we're also just wandering through these examples and not getting too bogged down on making a complete list. We have that list in the Cambridge Grammar of the English Language. It's a very big and heavy book.","As we're going through these examples, I",we're going through these examples I,568860.0,570359.0
u,through,Lauren,3,37,162,"The glacier is always a good metaphor for this kind of work where there's an incredibly large amount of figuring out the mechanics of the language that happen behind the scenes. We have a dictionary. I have the basics of the grammar. Then, you have this tiny bit at the top that you actually see come through in the book.",at you actually see come through in the book.,at the top that you actually see come through in the book.,1640760.0,1644259.0
u,through,Lauren,4,10,54,"I kind of lumped my language learning into three different phases of my life. So, the first exposure I had to language learning was in primary school. My primary school taught Italian, but by 'taught Italian' I mean in this very Australian -- Australia is, like, upsettingly proud of its monolingual educational focus, I think, so a lot of schools do some amount of language learning, but there's no real understanding, or nothing imparts to students why you might be learning this or why it might be interesting to care about another culture or a language, and so I learnt lots of random Italian vocabulary and some songs in primary school and at the start of high school. And then when I changed schools halfway through high school, no one felt at all compelled to encourage me to keep going with Italian or to take up one of the languages at that school, and I didn't really understand the idea of learning languages. Everyone in my family day-to-day spoke English, everyone in my social life day-to-day spoke English, and other countries and languages just seemed really far away. So that was kind of my early, underwhelming language exposure. Does mean I can navigate an Italian menu quite well sometimes, but not much more."," changed schools halfway through high school, no o",changed schools halfway through high,552490.0,555039.0
u,through,Lauren,5,5,89,"Yeah so their finding suggests that the odour-colour associations that people have are most likely formed through language. It's really neat article and they have a great website kind of summarizing the findings, we'll put that in the show notes.",e are most likely formed through language. It's re,likely formed through language. It's,1965459.0,1967319.0
u,who,Gretchen,1,82,157,"I can be found as @GretchenAMcC on Twitter, my blog is AllThingsLinguistic.com, and my book about internet language is called Because Internet. Lingthusiasm is able to keep existing thanks to the support of our patrons. If you wanna get an extra Lingthusiasm episode to listen to every month, our entire archive of bonus episodes to listen to right now, or if you just wanna help keep the show running ad-free, go to patreon.com/lingthusiasm or follow the links from our website. Patrons can also get access to our Discord chatroom to talk with other linguistics fans and be the first to find out about new merch and other announcements. Recent bonus topics include our 2022 listener survey responses, using linguistics in the workplace, and our very special, [ASMR voice] very soothing, Lingthusiasmr episode where we read the Harvard Sentences to you in a calm, soothing voice. [Regular voice] If you can't afford to pledge, that's okay, too. We also really appreciate it if you can recommend Lingthusiasm -- and maybe Lingthusiasmr? -- to anyone in your life who's curious about language.",- to anyone in your life who's curious about langu,-- to anyone in your life who's curious about language.,2602890.0,2605499.0
u,who,Gretchen,2,20,53,"Yeah, English as a lingua franca, where it's everybody's second language like in Europe, or with the UN, and you have a whole room full of English speakers who have a way of communicating with each other that has fewer idioms and fewer of the things that are difficult for non-native speakers, and then when the native speaker walks into the room suddenly it's like they're the one that's having a hard time being understood because they've got this different access there. So there's a bunch of different ways that English can be used, and I think we thought that one of the things that would be very interesting to do with this episode is talk about how we personally fit into this kind of gap, or this kind of tension between US and UK English, when you're not in either of these and you see yourself in both.","h the UN, and you have a whole room full of Englis",speakers who have a way of communicating with each other that has,574500.0,577909.0
u,who,Gretchen,3,14,222,"And I can be found as @GretchenAMcC, and my blog is AllThingsLinguistic.com. To listen to bonus episodes, ask us your linguistic questions, and help keep the show ad-free, go to patreon.com/lingthusiasm, or follow the links from our website. Current bonus topics include the semantics of sandwiches, language games, hyper-correction, how to teach yourself even more linguistics, and you could help us pick the next topic by becoming a patron. Can't afford to pledge? That's okay, too! We also really appreciate it if you can rate us on iTunes or recommend Lingthusiasm to anyone who needs a little more linguistics in their life.",d Lingthusiasm to anyone who needs a little more l,Lingthusiasm to anyone who needs a little more,2166310.0,2168329.0
u,who,Gretchen,4,12,11,"I don't know, who's that, Lauren?","I don't know, who's that, Lauren?","G: I don't know, who's that, Lauren?",80000.0,81949.0
u,who,Gretchen,5,82,67,"I have a fun story about that from when I was an undergrad where we had to come up with a bunch of nonsense words for stimuli, only one of the words that we came up with -- I forget what it was. I think all of our words were like consonant-vowel-consonant, so it was something that was like a slang swear word or a word related to some sort of risqué topic, and the prof was like, 'Oh, we can use this word, right?' And all the students sort of look at each other and start giggling. We're like, 'Who's gonna tell him?'","t giggling. We're like, 'Who's gonna tell him?'","We're like, 'Who's gonna tell him?'",939089.0,941859.0
u,who,Lauren,1,81,3,"Ask us your question by following the link in the show notes by September 1st, 2023. We'll have the episode as our bonus in November 2023. Our most recent bonus episode was a discussion about linguistics and jobs, including a behind-the-scenes on a new academic paper that brings together seven years of interviews with people who have done linguistics and gone on to interesting careers.",f interviews with people who have done linguistics,interviews with people who have done,64440.0,66539.0
u,who,Lauren,2,75,115,"I guess, also, a good reminder that when you are in a fit of spicy rage that you're having an effect on the people who are around you.", an effect on the people who are around you.,having an effect on the people who are around you.,1457470.0,1459419.0
u,who,Lauren,3,74,170,"In fact, the more important thing is just to think about who is likely to have information and who has the right to ask questions and who has the right to answer questions.",g is just to think about who is likely to have inf,to think about who is likely to have,1912440.0,1915319.0
u,who,Lauren,4,74,174,Yeah. The 'You have pets' would obviously come across as a question because I know who's in my household more than you do., question because I know who's in my household mor,because I know who's in my household,1983960.0,1986359.0
u,who,Lauren,5,13,267,"And I tweet and blog as Superlinguo. To listen to bonus episodes, ask us your linguistics questions, and help keep the show ad-free, go to patreon.com/lingthusiasm, or follow the links from our website. Our current bonus topics include language games, hyper-correction, and how to do linguistic research, and you can help us pick the next topic by becoming a patron. If you can't afford to pledge, that is okay too, especially this month. We also really appreciate it if you could rate us on whatever platform you use or recommend Lingthusiasm to anyone who needs a little more linguistics in their life.",d Lingthusiasm to anyone who needs a little more l,Lingthusiasm to anyone who needs a,2570990.0,2573029.0
æ,bang,Gretchen,1,13,252,"I think I knew someone that did it with the Big Bang Theory, which might be on YouTube? Like, Gricean Maxims with Big Bang Theory clips.","that did it with the Big Bang Theory, which might ",someone that did it with the Big Bang,2359800.0,2361779.0
æ,bang,Gretchen,2,13,254,But I'm like... Big Bang Theory has its pros and cons.,But I'm like... Big Bang Theory has its pros ,G: But I'm like... Big Bang Theory has its,2364690.0,2367659.0
æ,bang,Gretchen,3,72,143,Or 'bang' or something.,Or 'bang' or something.,you know or bang or something yeah it,1479179.0,1481579.0
æ,bang,Gretchen,4,13,258,"I say this not knowing anything about the Wu-Tang Clan, so I don't know if I'm qualified to comment, but if we can't link you to the Wu-Tang Clan, then we will link you to its less cool substitute, the Big Bang Theory.","cool substitute, the Big Bang Theory.","substitute, the Big Bang Theory. N: But also, like, you",2386820.0,2389189.0
æ,bang,Lauren,1,16,6,"Great Patreon news 2018: we have full-length episodes for every bonus episode, so you are getting more bonus bang for your Patreon buck with those.",u are getting more bonus bang for your Patreon buc,"every bonus episode, so you are getting more bonus bang for your Patreon buck",116070.0,121779.0
æ,bang,Lauren,2,15,5,"We'll still have free episodes every month through the main channel, but we'll also have another full-length episode, which means you get more bang for your Patreon buck.",which means you get more bang for your Patreon buc,you get more bang for your Patreon buck.,68660.0,71149.0
æ,hand,Gretchen,1,38,142,"In fact, Proto-Indo-European, the ancestor language of English and most of the other languages spoken in Europe -- with the exception of a few, and some of the languages spoken on the Indian subcontinent -- it had a dual. There are a few other Indo-European languages that still have it or still have relics of it. One of them was Latin, which had some fossilised forms like 'ambo,' which means 'both.' If you're 'ambidextrous,' you have both hands are the right hand. Also, had relic forms in Old Irish, Homeric Greek, Old Indo-Iranian, and Old Church Slavonic. There are still a few dual forms in Slovene and Sorbian.","dextrous,' you have both hands are the right hand.",have both hands are in the right hand,1518889.0,1521168.0
æ,hand,Gretchen,2,84,31,"You can't see me right now, but I have my hand up, and I'm pointing an invisible finger, and there it is. You said, 'invisible finger.' Sometimes, pointing happens with the index finger. Sometimes, it happens with the middle finger, with the whole hand. I guess you could point with your elbow if your hands were occupied. Or maybe you could point with your thumb if you're pointing back in that direction. Is there research on pointing with various parts of the body?","right now, but I have my hand up, and I'm pointing","G: You can't see me right now, but I have my hand up, and I'm pointing an invisible finger,",352980.0,357599.0
æ,hand,Gretchen,3,84,45,"That's great. I think I could do eye pointing especially if I was in a public space and trying to gesture to 'Oh, this person has a really cool hat on' or something, and I didn't wanna put out my full hand and be like, 'Oh my god, check out that person's hat!' I'm gonna be like, 'Look, look behind you. There's a person with a cool hat.' But I don't think I have lip pointing for myself.","'t wanna put out my full hand and be like, 'Oh my ","hat on' or something, and I didn't wanna put out my full hand and be like, 'Oh my god, check out",584220.0,588239.0
æ,hand,Gretchen,4,63,67,"I feel like occasionally etymologies give you this really great ah-ha! moment where you're like, 'Ah, these things are connected! I never realised it before.' The problem is, is that some etymologies are actually kind of boring instead. They're like, 'Okay, this is related to another word that meant a similar thing. It goes back to another older one that also meant a similar thing. Great.' Mm-hmm, fun. Or like, it meant something different, but not different in an interesting way, just sort of like, I dunno, different. If you're raised on a diet of etymology stories that are the hand-selected cream of the crop of the 10% that are super exciting, and you start encountering the normal, vegetable-y etymology stories that are not as exciting, you're like, 'This isn't very fun. I could do better.' You don't get that excitement, and you start speculating, you know, I was speculating like, 'What about 'macerate'?' If I hadn't gone and looked it up, I could've been like, 'Oh, yeah, I'll just repeat this to someone and not think about actually verifying what's going on.'",ogy stories that are the hand-selected cream of th,raised on a diet of etymology stories that are the hand-selected cream of the crop of the 10% that,1213280.0,1219919.0
æ,hand,Gretchen,5,55,94,"On the one hand, R-coloured vowels occur in less than 1% of the languages of the world, at least as we're currently able to measure them.","On the one hand, R-coloured vowels o","Northern Chinese varieties of spoken Mandarin. G: On the one hand, R-coloured vowels occur in",1336560.0,1343519.0
æ,hand,Lauren,1,4,82,"There's also a Dutch Sign Language Word of the Year. The Dutch Sign Language Word of the Year is you put your hand flat on your head and then you lift your fingers up kind of 90 degrees and put them back down again which is the Dutch Sign Language sign for Donald Trump. You may be able to figure out where the iconicity for that one comes from. So Dutch Sign Language declared a sign of the year which was pretty cool. [Update: this was actually the Swiss Sign Language word of the year, not the Dutch, sorry about that!]",the Year is you put your hand flat on your head an,the year is you put your hand flat on,1364160.0,1367069.0
æ,hand,Lauren,2,1,76,"in the way a smiley emoji resembles the way your lips curl up when you're happy. This kind of visuality of it makes people think 'well, I can understand it so it must be universal'. But more and more we look at the way different cultures gesture - even something as simple as pointing. We thought for a long time for that index finger pointing was the the default universal way to point. And in fact we now know cultures point with their lip. Or, we know that some people in some cultures because of various taboos or because of style preferences will point with their eyes or their eyebrows, and there's a whole collection of different handshapes you can use to point in indigenous communities in Central Australia. So people will point with an open hand which means a collection, I'm pointing at a collection of things. And also there's taboos in some communities on pointing, or pointing with the index finger, or pointing with the left hand instead of the right hand...", collection of different handshapes you can use to,of different handshapes you can use to,1128870.0,1130909.0
æ,hand,Lauren,3,2,90,"And so if Bob says something, I'll sign what Bob said in the left-hand space",hat Bob said in the left-hand space,what Bob said in the left-hand space G: or,1178040.0,1180859.0
