Episode,Turn,Speaker,Text
1,49,Lauren,well i think it was part of this bigger personal brand that he had as this cheerful guy who was going to solve the world's communications problems through a language -- that was all about visual iconic imagery. He started learning Chinese and was like 'oh the character for 'man' in Chinese characters looks like a man I'll just take this to the full language' and he and his wife spent all of his savings (which is kind of a reoccurring story that seems to go with Conlangs). He and his wife ploughed all their savings into him inventing these Blissymbols as an international ideographic written language. They sent out copies of the book all over the world thinking -- this is the 1940s-1950 -- that he was going to revolutionize the way people connected and communicated and no one took it up.
1,50,Gretchen,"yeah i remember reading about listen about Blissymbolics a couple years ago when I read Arika Okrent's book The Land of Invented Languages, but I think you just read that book right?"
1,51,Lauren,"yep, and its really great."
1,52,Gretchen,"I really enjoyed it, and I forgotten now most of what she says about Blissymbolics -- but he tried to do this and there were a couple kind of tiny areas where he saw uptake right?"
1,53,Lauren,"yeah, so the idea went nowhere -- and then in the seventies Shirley McNaughton in Canada who worked with children who had either physical or cognitive disabilities found these symbols for her students to use to communicate.Until that point all the children had with this board full of symbols for 'toilet' or 'bed' -- really basic needs-based communication. And she was convinced that these children could communicate more, but their cerebral palsy would prevent them from speaking. So she set out the Blissymbols and used them as a way to teach these children to communicate. So she'd have the symbol for a person and the symbol for bed and then the symbol for photo or something and and the children were able to say, like, 'I had a dream last night about this thing...' -- people who'd never been able to communicate before. And it really took off in the organization where she was working in Canada. And then it started spreading, after sitting on a shelf for decades unused you finally have someone using them to communicate with people who couldn't communicate before, it was really powerful. And then Charles Bliss was still alive and there's just no way to tell story -- I mean Arika Okrent does tell the story really beautifully, but I just can't tell in a way where Charles Bliss doesn't sound like a jerk. But he kind of came into this situation and said 'you can't teach the kids to use the symbols like this' because she was using English grammar whereas in Sweden they were using them with the children to move on to Swedish, so they were using them with Swedish word order. And everywhere else they were bringing in variation to how the symbols were used, as a way to go from not communicating at all, to communicating with Blissymbols, to communicating with words in the kids' languages. Bliss said 'you're ruining the universality of these symbols'."
1,54,Gretchen,"Like, so much for helping children. No we can't do that."
1,55,Lauren,"No, we can't help the children. We need to maintain the 'authenticity' of these Blissymbols."
1,56,Gretchen,yeah this guy really seems like a jerk.
1,57,Lauren,"in the end they ended up settling for an absolute mass of money for him to give them the rights to use Blissymbols. It was just horrible that you would go from being like 'I'm all about communication and encouraging people to communicate"" to 'you're not using my invention properly so give me lots of money'."
1,58,Gretchen,"yeah the other thing I think is, because, I mean it's not like Blissymbols had caught on elsewhere ("
1,59,Lauren,"nope), and I think that kind of speaks to this hope. This kind of seductive hope, especially when it comes to visual communication, even beyond auditory communication, that if only we could just like get the right graphic designer we could just think this through. We could figure out ways to intuitively represent every single possible meaning in an immediately obvious sequence of little pictures that all humans will understand instantly and you won't have to learn anything. I get this when it comes to emoji a lot, because I do a lot of emoji interviews and some people say 'oh yeah emoji they're this universal language that you can understand immediately' -- and I think it's a similar problem that there's a lot in emoji that is culturally specific, or that is not universally understandable, and there's also a lot of meanings you can't convey an emoji because they aren't very easily picture-able."
1,60,Lauren,"it's like those times that people are like 'this thing got translated into emoji' and you're like 'great, translate it back out of emoji why don't you?'"
1,61,Gretchen,"yeah, you translate something into emoji and then when you translate it back it completely loses its meaning, or you have to already understand what the source text was. The other thing is people sometimes have a challenge where they'll communicate just in emoji for a day or a week or a month or something, and they all come back and they're like 'yeah you know it was pretty easy to convey if I was happy or sad but it was really hard to say actual sentences about things going on in the world or ideas that I had'. My favorite one is someone tried to do this and they said at the end 'I was missing grammar'. I said 'thank you', because that's what emoji don't have."
1,62,Lauren,or sometimes you find that people do -- you find temporary emergent communicative norms that will arise in these contexts where people are trying to use things.
1,63,Gretchen,"yeah, so for example, one of the issues that comes up with emoji is how do you convey 'I' as in the subject of a sentence? you know 'I would like you to do this"" or 'I'm going to the store now'. What people will sometimes do is they'll pick an emoji like a person emoji that looks kind of like them and they will say 'okay great, this one stands for me' you know. So they'll pick the man or the woman, they'll put the skin tone modifier on it and like 'okay, that stands for me'. But the only reason that the other person knows you're using that to stand for you is because you've developed this convention. Otherwise it could be a person who looks kinda like this who is not necessarily me who does this action. And this is a pretty basic concept that we just have a massive difficulty communicating with emoji."
1,64,Lauren,"and we also are really -- I mean we're not lazy, we just use the linguistic structures that we have. Of course it's 'person' and then 'bus' because English is 'I am on the bus'."
1,65,Gretchen,"right, but in other languages you can have like 'bus, I am on it' or something like that."
1,66,Lauren,"I enjoy whenever anyone's like 'look we made sentences in emoji', I love sitting there and like translating them really badly."
1,67,Gretchen,"yeah, I issued a challenge on Twitter a while back which was: if you want to assert that emoji are language that's fine you just have to do that in emoji."
1,68,Lauren,oh snap.
1,69,Gretchen,"yeah, and you have to make someone who doesn't know that's what you're intending be able to read that sentence. Because any language that we have, you know, even Esperanto, I don't know maybe even Blissymbolics, can assert that it's a language. Like there's a way to say in Esperanto 'Esperanto is a language'."
1,70,Lauren,yeah
1,71,Gretchen,"and so I got all these responses and read them and I was having a lot of fun providing naive interpretations of them something like 'I get happy when I sing the alphabet song', you know?'"
1,72,Lauren,so not that successful so far...
1,73,Gretchen,"not that successful so far, and I don't think it's for lack of creativity! I think it's because that's not what emoji are designed to communicate. That's not what obvious pictures are designed to communicate. There's a limit to how much meaning can be obvious because we have all these abstract things that we mean and lots of stuff that we talk about is not picture-able."
1,74,Lauren,"I get this a lot as well when I talk to people about gesture, and people are like 'ah gestures are the great universal thing that humans have' or 'you know when I travel I don't learn to speak the local language because we can get by with gesturing'. And I'm like 'well, yes, you can get by with gesturing if all you want to do is point at things and be a bit obnoxious'. But actually, beyond the fact that as far as we can tell every society seems to have gestures, a lot of what we presume is universal about gesture is partly based on this iconicity. So that's something that ties it to emoji and Blissymbols in a way, because there's some relationship between the gesture or the emoji and the thing it's representing or referring to."
1,75,Gretchen,"yes, so if you put your hand up to your mouth, that conveys 'eating' or 'drinking' or something, because when you eat you put things in your mouth, so of course that's what it means."
1,76,Lauren,"in the way a smiley emoji resembles the way your lips curl up when you're happy. This kind of visuality of it makes people think 'well, I can understand it so it must be universal'. But more and more we look at the way different cultures gesture - even something as simple as pointing. We thought for a long time for that index finger pointing was the the default universal way to point. And in fact we now know cultures point with their lip. Or, we know that some people in some cultures because of various taboos or because of style preferences will point with their eyes or their eyebrows, and there's a whole collection of different handshapes you can use to point in indigenous communities in Central Australia. So people will point with an open hand which means a collection, I'm pointing at a collection of things. And also there's taboos in some communities on pointing, or pointing with the index finger, or pointing with the left hand instead of the right hand..."
1,77,Gretchen,"and you know even in English, pointing with your middle finger can sometimes go wrong..."
1,78,Lauren,"in Nepal where I spend a lot of time that is a lot of free variation between index finger and middle finger pointing, and my Westerner sensibilities still giggle at that."
1,79,Gretchen,yeah I had a had a piano teacher once who would just at point with everything with his middle finger and I was thinking 'I know you're just pointing to the stuff but I'm really distracted right now'.
1,80,Lauren,so people are like 'we could all just gesture to each other' or all use sign language -- and sign languages still have all the same grammatical requirements of spoken languages.
1,81,Gretchen,yeah with an occasional bit of iconic convenience for you to learn signs.
1,82,Lauren,but it's not going to bring about world peace.
1,83,Gretchen,"yeah, I mean that there's some iconic stuff about spoken languages as well. There was an interesting recent study trying to look at statistically what are some iconic things that show up in spoken languages? Like the word for 'nose' tends to have an 'n' it because the 'n' sound is a nasal sound -- it's produced by putting air out of your nose. And so in something like two-thirds of the world's languages the word for nose has an 'n' in it which is you know statistically improbable, I guess that's what they found. But two-thirds is a high number for statistics but it's not a universal."
1,84,Lauren,good as we're getting.
1,85,Gretchen,"like it's not every language, it's just a lot of them. You know, it's cool that sometimes you get this, it's part of the way there. But it's not going to automatically give you an entire vocabulary in another language, because there's a lot of stuff that's not obviously iconic."
1,86,Lauren,"grammar, we're back to grammar."
1,87,Gretchen,This is why languages are great because they have all this grammar and they're not completely obvious.
1,88,Lauren,"so a lot of people now are like 'well you know we're basically there with English so let's just make English the universal language'. One industry where that is actually kind of happening is aviation. So you have something now called 'Aviation English' which is an attempt to make sure that people who work in the International Civil Aviation Organization all speak a degree of a particular kind of English that has very set terminology and very set word order and features like that, so that there aren't any miscommunications. In 1977 at Tenerife airport two Boeing 747s collided, and it was basically because one took off too early, because the person in the control tower and the pilot weren't really communicating clearly. The pilot said something non-standard that they were taking off and the person in the control tower assumed that they were going through the standard motions and requesting permission to take off -- and instead of giving the correct reply just said 'ok' which the pilot took as 'okay you can take off now because that's what you just said you would do'. And so that plane collided with another plane midair and many people died. And so now there is very precise standardized phraseology. And there's also one in radio telephony it's the International Phonetic Alphabet -- that's not the linguistic phonetic alphabet, it's the 'Alpha Bravo Charlie' one."
1,89,Gretchen,"I mean it's useful because 'b' and 'c' and 'd' and 'e' and stuff they sound very similar, they all rhyme. And so if you're not quite sure what consonant came with them especially over a terrible radio signal that's really fuzzy, it's easy to misinterpret."
1,90,Lauren,it's also the one that ensures that you have to say 'niner' instead of 'nine'.
1,91,Gretchen,"yeah and you see it sometimes, I mean, I've encountered when you're on the phone with your bank or something and you're spelling something for them and people sometimes use an ad-hoc system. Like, you don't necessarily have memorized the international aviation one but you just pick a common names so you say like 'n' as in 'Nancy' or 'm' as in 'Michael' because N & M sound very similar over the phone. So there's various ways to kind of get by these degraded communications. Another one that I find is very cool which is less about 'let's just do everything in English', but it's still got this high-stakes aspect is on the ISS. On the International Space Station, you have astronauts from the US and from other English speaking countries and you have cosmonauts from Russia. And obviously it's very important to get your communication right if you're on a tiny metal box circling the Earth or going somewhere. You don't want to have a miscommunication there because you could end up floating in space in the wrong way. And so one of the things that they do on the ISS -- so first of all every astronaut and cosmonaut needs to be bilingual in English and Russian because those are the languages of space."
1,92,Lauren,yep. The language of space are English and Russian? I'm sorry I just said 'yep' and then I didn't really think about the fact that that's a fact is it?
1,93,Gretchen,"I mean pretty much, yeah, if you go on astronaut training recruitment you know forums, which I have gone on for research for this episode..."
1,94,Lauren,you're got to have a backup job Gretchen.
1,95,Gretchen,"I don't think I'm going to become an astronaut, but I would like to do astronaut linguistics. And so one of the things they say, is 'you need to know stuff about math and engineering and, like, aerodynamics and you also fly planes in the military and stuff'. Like, these are various things people need to know. And they also say, you know, you either have to arrive knowing English and Russian or they put you through an intensive language training course. When they're up in the air one of the things that they try to do is have the English native speakers speak Russian and the Russian speakers speak English. Because the idea is if you speak your non-native language then you're sure what you're saying and the other person can understand you better. Whereas if you speak your native language, maybe you're speaking too fast or maybe you're not sure if the other person's really understanding you, to get a better kind of comprehension check. If you both speak the language you're not as fluent in then you arrive at a level where where people can be sure that the other person's understanding and there's kind of this hybrid English Russian language I think that's developed not a full-fledged language but kind of a"
1,96,Lauren,Space Creole!
1,97,Gretchen,"this space pidgin that the astronauts need to speak with each other and I don't know if anyone's written a grammar of this, I hope is the case that someone has written a grammar of space pidgin."
1,98,Lauren,that is amazing.
1,99,Gretchen,"I mean, it kind of reminds me of, like, you do get trade languages back you know kind of pre-space-age. The original lingua franca is a Frankish dialect -- an earlier version of French spoken around the Mediterranean by sailors and stuff from a bunch of different areas. And they all speak this kind of trade language with each other, you know, 'space is the final frontier' or something like that."
1,100,Lauren,yeah and we can all speak a Russian English pidgin and then we can colonize Mars and turn into a proper Space Creole.
1,101,Gretchen,"and everything will just become like A Clockwork Orange, like, I don't see what's wrong with this."
1,102,Lauren,"how could this plan go wrong. So, the thing that upsets me the most about the one language bringing peace and happiness fallacy is that like we just know it's wrong from the evidence. People who speak the same language don't inherently get along, and often find ways to hate on each other for speaking the same but ever so slightly different varieties of a language."
1,103,Gretchen,"do people who think that if we all spoke the same language we'd get along, have they ever been in a family? Have they never had arguments?"
1,104,Lauren,you have people who have grown up in exactly the same linguistic environment.
1,105,Gretchen,"yeah, like people get married and then they get divorced it's not because they don't speak the same language, it's because they have irreconcilable differences"
1,106,Lauren,"they probably speak the same language too well ,so they can say all the horrible things to each other."
1,107,Gretchen,"yeah, like you fight with your siblings or something like it's not because you don't speak the same language -- you just don't get along."
1,108,Lauren,"so Australia English as far as like, you know -- you look at America and there's quite a lot of linguistic diversity for one country. Australia is very linguistically homogeneous but when there's a state-based or city-based linguistic variation in Australian English we just lose our collective shit over it. It's kind of impressive how homogeneous Australian English is, and how disproportionately outraged people get about variation. One war that kind of flames up every few years is something known as the 'potato cake / potatoes scallop' war. If you go to a fish-and-chip shop in Australia a particular menu item that's available is a large disk of potato that's deep fried and it's very tasty and it's great like everyone should want to eat them. But for some reason in Victoria and South Australia they're known as potato cakes, in New South Wales and Queensland they're known as scallops or potato scallops, and this just upsets people so much."
1,109,Gretchen,I'm kind of baffled by this because I'm Canadian and I have both the item potato cake and potato scallop they just refer to different things.
1,110,Lauren,so what do they mean in Canadian English?
1,111,Gretchen,so neither of them is your thing.
1,112,Lauren,so both of them are the wrong thing.
1,113,Gretchen,"both of them are the the right thing. Anyway we're not going to have this argument. So potato scallop is like a casserole, you slice the potatoes and then you make like a cream sauce and then you bake it in the oven."
1,114,Lauren,"ah, see that's scalloped potatoes."
1,115,Gretchen,"oh, see scallop potatoes and potato scallop are the same thing for me."
1,116,Lauren,"right, ok."
1,117,Gretchen,then a potato cake is kind of more like your thing but it's not necessarily deep-fried and sometimes there's fish involved i guess like fish cakes?
1,118,Lauren,oh well that's terrible then.
1,119,Gretchen,"no, but you like, you just beat the potato but you don't necessarily deep-fried it you could just pan-fry it."
1,120,Lauren,okay.
1,121,Gretchen,"I think people project their differences and their opinions about other people on the languages. It's not as though the language comes with these particular distinctions itself, it's a proxy for things you think about particular good people or the simmering ethnic divides in Australia between people who live in Victoria and people who don't."
1,122,Lauren,"or just the simmering geographic divides. There's nothing ethnic, there's nothing particularly linguistic, it's purely that the Victorians and the New South Welsh will find any reason to disagree and we don't always have that many so we were reduced to bickering over fried food."
1,123,Gretchen,"at a larger scale, I think people see things like these trade languages or aviation English or like international symbols for the Olympics where you can see the symbol and see o'kay which sporting event does this refer to'? You think 'Wow! OK, people can kind of understand each other maybe if we had more of this we could do more of this trade.' But there's still a big divide when it comes to nationalistically. You know, there are civil wars, there have there been many of them in history. And they aren't because people don't speak the same language in the same country, they're because they do speak the same language and they realize that they hate each other. Or, imposing a language on people just so that you can all speak the same language, you know, this leads to resentment."
1,124,Lauren,"English as a lingua franca these days, we have to remember, it's because of fairly gratuitous and heinous colonial expansion by the British."
1,125,Gretchen,"yeah, Latin as a common language was also due to Latin/Roman imperial expansion. And sometimes you get a common language, but it's not because people just wake up one day and they like to decide that they want to speak this language. It's because they were forced to many cases."
1,126,Lauren,"I talked about Australia being a place where people can get really riled up about the different and potato cake and a potato scallop, and you can think of Australia as being really culturally homogeneous because of that. Like, if that is the level of difference that we're trying to pick a fight about. But actually, Australia is amazingly linguistically diverse and amazingly full of cultural diversity and I think sometimes people can get so caught up in thinking that one language will solve all of these problems that we run the risk of attempting to homogenize or losing really wonderful diversity."
1,127,Gretchen,"yeah, I think just as language can be a thing that we project, you know, our feelings about particular people on. I also think that we protect our hopes for humanity on it. Every Miss America contestant does want world peace, but that's because we do want peace, we do want people to be able to get along, least in theory. It's just that I think a pluralistic way of 'wouldn't be great everyone spoke multiple languages' is maybe more likely to get us there."
1,128,Lauren,Send your complaints to us in the form of emoji.
1,129,Gretchen,and we'll read them out loud on this audio podcast.
1,130,Lauren,"For more lingthusiasm, and links to all the resources and media mentioned in this episode, go to lingthusiasm-dot-com. You can listen to us on iTunes, Google Play Music, Soundcloud, or wherever else you get your podcasts, and you can follow Lingthusiasm on Twitter, Facebook, Tumblr and other social networks."
1,131,Lauren,I also Tweet and blog as Superlinguo.
1,132,Gretchen,and I can be found at GretchenAMcC on Twitter and my blog is AllThingsLinguistic.com. Lingthusiasm is created and produced by Gretchen McCulloch and Lauren Gawne and music is by The Triangles. Stay Lingthusiastic! [Music]
2,1,Gretchen,Welcome to Lingthusiasm - a podcast that's enthusiastic about linguistics. I'm Gretchen McCulloch
2,2,Lauren,"and I'm Lauren Gawne. Today, we're going to be talking about pronouns and how these little words do a lot of work. But first let's talk about where our logo comes from."
2,3,Gretchen,"When we were coming up with the idea that maybe we wanted to start a podcast, we started talking about logos - because that's the first thing, obviously! We realized that Superlinguo, Lauren's blog, uses a yellow-green background and my blog, All Things Linguistic, uses a teal background, kind of a bluish-green. So we figured that a true green, a vivid green, was the logical way of splitting the difference between that."
2,4,Lauren,"We're both big green fans. And we also have IPA symbols in both of our logos. Superlinguo has a schwa and All Things Linguistic has three and... I can't even remember, which ones are there? There's a theta I know that."
2,5,Gretchen,"it's alpha theta lambda, it's an acronym."
2,6,Lauren,Ah yeah that makes sense!
2,7,Gretchen,"Yeah, but they're also symbols that are used in linguistics"
2,8,Lauren,So nerdy linguistic symbol logos meant that we're going to continue that theme with this one as well.
2,9,Gretchen,"And so we ended up going with the one that we have which is a triple purpose logo. If you haven't seen it, it's presumably in the icon of whatever program you're using to listen to this podcast. The symbol looks like the International Phonetic Alphabet symbol for the glottal stop -- that's the sound in 'uh-oh', this kind of stop of air in the back of your throat. But we got it by cutting off the dot at the bottom of a question mark because that gave us more font options."
2,10,Lauren,"Unfortunately, disappointingly few stylish fonts have full symbol range for the International Phonetic Alphabet."
2,11,Gretchen,We were very disappointed! But this was actually one of the reasons why we picked the glottal stop -- because that way we could just chop off some question marks and we'd a lot more stuff to choose from.
2,12,Lauren,And then we liked that the end result of the one that we chose looks a little bit like an ear.
2,13,Gretchen,"Yeah! It looks a little bit like an ear, it looks a little bit like a question mark because we are curious about things, and it is also an IPA symbol."
2,14,Lauren,Because we are quite lingthusiastic about things.
2,15,Gretchen,We are very lingthusiastic! Yay! And the name I guess will probably be pretty obvious. [Music]
2,16,Lauren,"Today we are going to talk about pronouns, which some of you might have a kind of trauma of. It sounds like a dirty word from grammar classes in high school, or some of you may be going into sweats from recollections of learning second languages. But we think pronouns are pretty rad and so today we're going to be talking about them."
2,17,Gretchen,"Yeah, pronouns are fun!So pronouns, if you forget what they are, are these little words that stand in place of a noun. You have things like I, me, you, your, our, we, she/he, it, they. Instead of just continually repeating the noun you can use a pronoun instead. They're a way of making language more efficient, because you don't have to just keep saying the noun over and over again. You've all had this conversation with people who just keep repeating your name and you're like 'No, just stop.'"
2,18,Lauren,It's the creepy way AI robots in sci-fi will always continue to refer to you by your full name and it's really creepy. 'What are you doing Hal?' 'Hal don't do that' always includes that full noun reference and it's super creepy in extended conversation.
2,19,Gretchen,"Yeah you know if you want to try this at home, creep out your friends by saying their names all the time, in every sentence and they'll probably get annoyed at you"
2,20,Lauren,"The thing that makes pronouns so interesting in conversation is, to use the fancy linguist term, they're deictic. To use the actual 'what does that mean?' term, they point at something. And like a pointing finger, they don't always point at exactly the same thing all the time - where they point depends on the context in which they're employed. It sounds painfully obvious until you're trying to pull it apart in a language you don't speak that well, but when I say 'I', I for me means Lauren and 'you' in this context means you Gretchen."
2,21,Gretchen,"Yes, and 'you' also means you the listener, you plural. But when *I* say 'I', I means me Gretchen and not you Lauren, because you're a different person. And the thing is, you can see little kids get this wrong! Like they'll refer to themselves as 'you' because that's what everyone else calls them, and they have to figure out that no, mommy is 'you' and daddy is 'you' and the dog is 'you' but I am 'I'."
2,22,Lauren,When 'I' use it
2,23,Gretchen,"When I use it. And little kids will get this wrong initially often when they're learning a language and so it's not completely obvious to people, but it's a very important insight when it comes to pronouns."
2,24,Lauren,"And that's why robots in AI in sci-fi sound really creepy - it is something that's quite hard to keep track of, these references, and who is being referred to by which pronoun in conversation."
