Episode,Text,Start,End
1,G: it has given rise to some,178600.0,180849.0
1,interesting stuff so let's use it as an,180850.0,183608.0
1,opportunity to talk about some of the,183609.0,184659.0
1,interesting stuff that the wish for a,184660.0,186279.0
1,common language has given us,186280.0,187539.0
1,"L: okay, definitely",187540.0,189669.0
1,G: one of the best-known endeavors to get everyone to speak a,189670.0,192399.0
1,common language and lead to peace on,192400.0,194619.0
1,Earth is Esperanto and Esperanto is,194620.0,197048.0
1,interesting because it's a conlang so it,197049.0,199509.0
1,was constructed to be a sort of neutral,199510.0,202599.0
1,language that would supposedly be easy,202600.0,204999.0
1,to learn and not reflective of any,205000.0,207789.0
1,particular nationality because it was,207790.0,209409.0
1,created to be this independent things,209410.0,211328.0
1,so wasn't like learning a language,211329.0,213039.0
1,associated with a particular country and then the,213040.0,215259.0
1,idea being that everyone can understand,215260.0,216879.0
1,each other and living in peace and,216880.0,218589.0
1,harmony and there's a couple of issues with,218590.0,220809.0
1,"different parts of this. For one, Esperanto is",220810.0,223869.0
1,not totally neutral,223870.0,225709.0
1,it borrows a lot of words from various,225710.0,227839.0
1,European languages and so it's a lot,227840.0,229849.0
1,easier to learn people who are already,229850.0,231199.0
1,speak European language than for,231200.0,233989.0
1,people who speak the language that's not,233990.0,236449.0
1,European,236450.0,237439.0
1,so it's not easy for everyone to learn,237440.0,239659.0
1,is easy for a particular group of people to learn.,239660.0,242089.0
1,L: so I've seen bits of Esperanto and I immediately,242090.0,243859.0
1,think of French that's being fed,243860.0,246139.0
1,through some kind of Italian filter and,246140.0,248809.0
1,then Spanish-ified. Like it definitely,248810.0,250669.0
1,has a strong Romance language kind of vibe to it.,250670.0,253309.0
1,G: it has a Romance kind of,253310.0,255469.0
1,look because it tends to have this kind,255470.0,257329.0
1,of consonant vowel sequences like,257330.0,259219.0
1,romance languages do but actually also,259220.0,260749.0
1,does have a lot of words from Slavic,260750.0,262849.0
1,languages and from Germanic languages as,262850.0,265129.0
1,well. So like the Esperanto word for dog,265130.0,267889.0
1,is something like 'hudo' which is a German,267890.0,270349.0
1,word like 'hound' it's not something like,270350.0,272329.0
1,'chien' or something like that.,272330.0,274159.0
1,L: the only Esperanto word I know is the word,274160.0,277129.0
1,'hotdogo' which is the Esperanto word,277130.0,279889.0
1,for hotdog,279890.0,280579.0
1,it's not 'hot hundo' or whatever it is,280580.0,282679.0
1,'hotdogo' is my one piece of Esperanto,282680.0,285319.0
1,G: but the Esperanto to word that I remember,285320.0,286789.0
1,"the best is 'kai' Kay-Ae-Ai, which is the word for 'and'",286790.0,289249.0
1,L: yeah G: so again you can see that's not,289250.0,291799.0
1,"very, it's not very Romance sounding",291800.0,293929.0
1,because it's not 'et' or 'a' or some version,293930.0,296659.0
1,some vowel-y thing (L: yep) and it's not,296660.0,299119.0
1,even Germanic sense because it's not 'and',299120.0,300859.0
1,or 'und'. 'Kai' is actually from Greek,300860.0,302779.0
1,Zamenhof,302780.0,303889.0
1,who's the guy who created Esperanto did,303890.0,305479.0
1,try to draw on multiple languages so 'kai',305480.0,307519.0
1,comes from Greek. I guess my personal,307520.0,309379.0
1,story with Esperanto is I tried learning,309380.0,311359.0
1,it when I was like 12.,311360.0,313409.0
1,L: I am so not surprised.,313410.0,315359.0
1,G: because I was that kid. I tried,315360.0,318079.0
1,learning it when I was like 12 because I,318080.0,319699.0
1,encountered this book about it on a,319700.0,322129.0
1,bookshelf because this back before i was,322130.0,324529.0
1,really using the internet very much and I,324530.0,326689.0
1,encountered a paperback book about,326690.0,327919.0
1,Esperanto and I was like oh yeah I'm,327920.0,329839.0
1,going to read this because I'd like to see,329840.0,330919.0
1,someone like you know putting out the,330920.0,332419.0
1,arguments for and against and it turned,332420.0,334489.0
1,out it was not a pros and cons book it,334490.0,336109.0
1,was literally a grammar or like a 'teach,336110.0,338059.0
1,"yourself Esperanto' book so I was like 'okay, fine'",338060.0,339979.0
1,i can't read the pros and cons maybe,339980.0,341039.0
1,I'll just learn it,341040.0,342399.0
1,"L: impeccable logic, yeah",342400.0,343379.0
1,G:this is what 12 year old Gretchen did when she,343380.0,345979.0
1,was encountering a language. And so I got,345980.0,347839.0
1,through chapter 1 which is how i learned,347840.0,349399.0
1,the word for 'and' and 'dog' and then I got to,349400.0,351859.0
1,chapter 2 and I learned that all of the,351860.0,354529.0
1,feminine forms were diminutive of the,354530.0,356539.0
1,masculine forms (L: ugh),356540.0,358189.0
1,so the word for men is like 'homo' or,358190.0,360799.0
1,something like Homo sapiens and then the,360800.0,362719.0
1,word for woman is 'homeno' (L: boo) which is,362720.0,365869.0
1,like '-ien' like the German -ine,365870.0,368479.0
1,suffix. Like in German you have Sprachwissenschaftler,368480.0,370519.0
1,which is a linguist,370520.0,372499.0
1,speech scientists and you have,372500.0,374539.0
1,Sprachwissenschaftlerin which is a,374540.0,376159.0
1,female speech scientist,376160.0,377039.0
1,L: I'm all ready to blow things up like so much for a,377040.0,379459.0
1,language of peace,379460.0,380659.0
1,G: yeah so first of all maybe this language,380660.0,383029.0
1,is peaceful but it's going to be a,383030.0,384109.0
1,sexist peace so i'm not sure if I'm into it,384110.0,386809.0
1,in fact I know I'm not into it,386810.0,388259.0
1,"L: yeah, fair enough",388260.0,388759.0
1,G: and secondly this just seems,388760.0,390349.0
1,uneconomical because as anybody who has,390350.0,392749.0
1,spoken Spanish or something knows,392750.0,394939.0
1,sometimes you really do want to be able,394940.0,396829.0
1,to distinguish between a group that's,396830.0,398929.0
1,gender mixed or gender neutral and a,398930.0,400789.0
1,group that is specifically only a plural of males.,400790.0,402649.0
1,So in Spanish you have a word like,402650.0,404869.0
1,'niño' which can mean 'boy' or 'child' whereas,404870.0,407989.0
1,'niña' means 'girl' but 'niños' can mean either,407990.0,410149.0
1,'boys' or 'children' so you have to do like,410150.0,411979.0
1,extra stuff you want to talk about a,411980.0,413899.0
1,group of boys specifically (L: right),413900.0,416149.0
1,so it's kind of uneconomical from a,416150.0,417919.0
1,linguistic perspective to have your,417920.0,419689.0
1,neutral word and your masculine word be,419690.0,421489.0
1,the same word because this is genuinely,421490.0,423589.0
1,a semantic distinction that's useful to,423590.0,424909.0
1,be able to make and Esperanto just can't do it,424910.0,426259.0
1,L: right,426260.0,426759.0
1,G: so it's a terrible,426760.0,428249.0
1,language for a bunch of reading and the,428250.0,429679.0
1,the main reason that I stopped when I,429680.0,431359.0
1,was 12 which I think was a great,431360.0,432739.0
1,decision on my part was that it was sexist.,432740.0,434149.0
1,L: So Zamenhof was like a complete idealist,434150.0,435949.0
1,G: he was a big idealist,435950.0,438709.0
1,so the name Esperanto itself means one,438710.0,441559.0
1,who hopes and this was his pseudonym,441560.0,443779.0
1,Dr. Esperanto. So he was really hoping,443780.0,446359.0
1,for kind of world peace and world,446360.0,448249.0
1,understanding which is very nice and I,448250.0,451039.0
1,think maybe because of his political,451040.0,452809.0
1,ideals that was really why people did,452810.0,455269.0
1,manage to learn Esperanto and it is kind,455270.0,457579.0
1,of one of the more successful common,457580.0,459439.0
1,languages,459440.0,460429.0
1,according to Wikipedia up to two million,460430.0,462709.0
1,people worldwide to varying degrees speak Esperanto,462710.0,466299.0
1,L: but is that just people like me who go 'hotdogs! yes!',466300.0,468939.0
1,G: yeah so I don't,468940.0,470209.0
1,know if like you and I count because we,470210.0,471679.0
1,know a few words of Esperanto or if you,471680.0,473269.0
1,have to be like a more dedicated,473270.0,474199.0
1,enthusiasts and some people have raised,474200.0,476359.0
1,their children speaking Esperanto so as,476360.0,478309.0
1,far as common languages go,478310.0,480229.0
1,it's had some success i but I've also,480230.0,482689.0
1,heard you know as a conlang that it's not,482690.0,485449.0
1,considered a very good conlang so if,485450.0,488478.0
1,you talk to conlangers and I know a few,488479.0,490579.0
1,conlangers there,490580.0,491659.0
1,is the kind of everyone's first conlang,491660.0,493459.0
1,which is pseudo-European everything,493460.0,495589.0
1,combined (L: right) that still inherits,495590.0,497959.0
1,a lot of the illogicalities of European,497960.0,500089.0
1,languages,500090.0,500719.0
1,that's what this is. So that's like a,500720.0,502189.0
1,stage 1 conlang and then a stage two conlang,502190.0,504499.0
1,is when you learn about all the,504500.0,505729.0
1,other stuff other languages do when you,505730.0,507049.0
1,try to make a language that does all of them,507050.0,508489.0
1,L: it has 48 cases and clicks an evidentials,508490.0,510709.0
1,G: yeah and ergativity and,510710.0,512839.0
1,like it just does every single weird,512840.0,514788.0
1,thing you can imagine from a language,514789.0,516288.0
1,like too many of them so it's ridiculously,516289.0,518809.0
1,complex and then like by the time you,518810.0,520848.0
1,get to your third conlang you've,520849.0,522348.0
1,learned the value of restraint and you,522349.0,524269.0
1,can really make a good conlang. This is,524270.0,525739.0
1,what I've been told. So apparently,525740.0,527449.0
1,Esperanto has all of the marks of a,527450.0,529039.0
1,first conlang the story I like the most,529040.0,531409.0
1,about Esperanto and its kind of,531410.0,533539.0
1,optimistic naivety. Was that there were a whole,533540.0,535459.0
1,bunch of people in commerce and stuff,535460.0,537409.0
1,who like 'Esperanto. Great idea.,537410.0,539269.0
1,Universal language.,539270.0,540529.0
1,Just tone down the optimism of world,540530.0,543049.0
1,peace because it would be really great,543050.0,544549.0
1,as like a commercial thing if we could,544550.0,546619.0
1,have international trade through this,546620.0,548509.0
1,unified language',548510.0,550939.0
1,G: so world capitalism instead of world peace,550940.0,551659.0
1,L: basically and they got so fed up they,551660.0,553849.0
1,broke off and created this language,553850.0,555409.0
1,called 'Ido' which I think means like,555410.0,557179.0
1,daughter or child language and then,557180.0,559849.0
1,basically it fell apart because they,559850.0,562519.0
1,failed to maintain the drive,562520.0,564529.0
1,G: they were insufficiently peaceful,564530.0,565939.0
1,L: they were insufficiently peaceful maybe there,565940.0,567319.0
1,is a kernel of Esperanto selling,567320.0,569509.0
1,itself is the universal language of peace,569510.0,571219.0
1,seems to have done a lot for its longevity,571220.0,572419.0
1,G: I kind of think of Esperanto,572420.0,574639.0
1,as with people who learn Esperanto is,574640.0,577309.0
1,kind of like couch surfers (L: right),577310.0,579349.0
1,you know people who joined like the,579350.0,580579.0
1,couch surfing web site and they meet,580580.0,582079.0
1,people from around the world and they,582080.0,583879.0
1,like sleep on each other's couches and,583880.0,585229.0
1,they really do like having experiences,585230.0,587449.0
1,that are like connected to the local,587450.0,589219.0
1,community (L: yeah),589220.0,589939.0
1,and I think that's very nice it's,589940.0,592069.0
1,just a pity that they're doing it with,592070.0,593179.0
1,such a terrible language,593180.0,594829.0
1,L: another language with someone tried to capture,594830.0,596359.0
1,this idea of universal communication but,596360.0,598639.0
1,from a completely different perspective,598640.0,599599.0
1,was Blissymbols or Blissymbolics,599600.0,602539.0
1,which were invented by a guy,602540.0,604849.0
1,his name was Charles Bliss but this was a name he,604850.0,607039.0
1,gave himself because he was Carl Blitz,607040.0,609679.0
1,and that didn't go down so well. He was,609680.0,611989.0
1,Jewish and so he was interned in the,611990.0,613639.0
1,Nazi camps and after he escaped the war,613640.0,616789.0
1,moved to Shanghai he changed his name to,616790.0,618619.0
1,Bliss because Blitz wasn't the the best,618620.0,621409.0
1,for a former German prisoner,621410.0,624049.0
1,G: was he also emphasizing this hope aspect,624050.0,625039.0
1,L: well i think it was part of,625040.0,626659.0
1,this bigger personal brand (G: yeah) that he,626660.0,628999.0
1,had is this like cheerful guy who was,629000.0,632328.0
1,going to solve the world's,632329.0,633648.0
1,communications problems through a,633649.0,635778.0
1,language that was all about visual,635779.0,638749.0
1,iconic imagery and so he started,638750.0,641148.0
1,learning Chinese was like oh the,641149.0,643189.0
1,character for 'man' in Chinese,643190.0,645979.0
1,characters looks like a man I'll just,645980.0,647778.0
1,take this to the full language and he,647779.0,650419.0
1,"and his wife spent all of his savings,",650420.0,652159.0
1,which is kind of a reoccurring story,652160.0,653719.0
1,"seemed to get with Conlangs, him and his",653720.0,656148.0
1,wife ploughed all their savings into him,656149.0,658008.0
1,inventing these Blissymbols as an,658009.0,661129.0
1,international ideographic written,661130.0,663018.0
1,"language, sent out copies of the book all",663019.0,665539.0
1,over the world thinking - this is,665540.0,667758.0
1,kind of the 1940s-50 - that he was going to,667759.0,670729.0
1,revolutionize the way people connected,670730.0,673068.0
1,and communicated and no one took it up,673069.0,676008.0
1,G: yeah i remember reading about listen,676009.0,677599.0
1,about Blissymbolics a couple years ago when I read,677600.0,679129.0
1,Arika Okrent's book The Land,679130.0,680778.0
1,"Invented Languages, but I think you just",680779.0,682338.0
1,read that book right?,682339.0,683448.0
1,L: yep and its really great,683449.0,685129.0
1,G: I really enjoyed it and I forgotten now most of what,685130.0,687229.0
1,she says about Blissymbolics but he tried to,687230.0,689388.0
1,do this but there were a couple kind of,689389.0,690799.0
1,tiny areas where he saw uptake right?,690800.0,692809.0
1,"L: yeah, so the idea went nowhere and then in",692810.0,695749.0
1,the seventies this woman in Canada who,695750.0,698179.0
1,worked with children who had either,698180.0,700189.0
1,physical or cognitive disabilities found,700190.0,703249.0
1,these symbols for her students to use to,703250.0,705469.0
1,communicate. Shirley McNaughton is this woman.,705470.0,707479.0
1,until that point all the children had,707480.0,709099.0
1,with this board full of symbols for like,709100.0,710778.0
1,"'toilet' or 'bed', really basic needs-based",710779.0,713539.0
1,communication and she was convinced that,713540.0,715429.0
1,these children could communicate more,715430.0,717049.0
1,but they're cerebral palsy would,717050.0,719419.0
1,prevent them from speaking so she set,719420.0,721669.0
1,out the symbols and use them as a way to,721670.0,724009.0
1,teach these children to communicate so,724010.0,727309.0
1,she'd have the symbol for a,727310.0,728688.0
1,person and the symbol for bed and then,728689.0,731599.0
1,the symbol for photos or something and,731600.0,734239.0
1,and the children were together like I,734240.0,735948.0
1,had a dream last night in something,735949.0,737629.0
1,they've never been able to communicate,737630.0,738679.0
1,people and it really took off in the,738680.0,741739.0
1,organization she was working in Canada.,741740.0,743989.0
1,And then it started spreading after,743990.0,745999.0
1,sitting on a shelf for decades unused,746000.0,748249.0
1,you finally have someone using them to,748250.0,750138.0
1,communicate with people who couldn't,750139.0,751458.0
1,"communicate before, it was really",751459.0,752869.0
1,powerful. And then Charles Bliss was still,752870.0,755539.0
1,alive and that's like there's just no,755540.0,757849.0
1,way to tell,757850.0,758639.0
1,story - I mean Arika Okrent does tell,758640.0,760559.0
1,"the story really beautifully, but I just",760560.0,762599.0
1,can't tell in a way where Charles Bliss,762600.0,764369.0
1,doesn't sound like a jerk but he kind of,764370.0,766469.0
1,came into this situation and said you,766470.0,769679.0
1,can't teach the kids to use the symbols,769680.0,771509.0
1,like this because she was using English,771510.0,773429.0
1,grammar and in Sweden they were using,773430.0,775589.0
1,them with the children to move on to,775590.0,778439.0
1,Swedish so they were using them with,778440.0,779909.0
1,like Swedish word order and everywhere,779910.0,781949.0
1,they were bringing in variation to how,781950.0,783839.0
1,the symbols were used as a way to go,783840.0,785789.0
1,from like not communicating at all,785790.0,787379.0
1,communicating with Blissymbols to,787380.0,789269.0
1,communicating with words in the kids,789270.0,791279.0
1,languages and Bliss said you're ruining the,791280.0,793559.0
1,universality of these symbols,793560.0,795929.0
1,"G: Like, so much for helping children",795930.0,797519.0
1,no we can't do that,797520.0,799889.0
1,L: no we can't help the children we need to maintain,799890.0,802109.0
1,the authenticity of these Blissymbols,802110.0,805619.0
1,G: yeah this guy really seems like a jerk,805620.0,807599.0
1,L: in the end they ended up settling for like,807600.0,809579.0
1,an absolute mass of money for him to,809580.0,811799.0
1,"give them the rights to use Blissymbols,",811800.0,813359.0
1,like it was just horrible that you would,813360.0,814949.0
1,go from being like 'I'm all about,814950.0,816419.0
1,communication and encouraging people to,816420.0,819089.0
1,communicate' to 'you're not using my,819090.0,821369.0
1,invention properly so give me lots of money',821370.0,823199.0
1,G: yeah,823200.0,823889.0
1,"the other thing I think is, because,",823890.0,825089.0
1,I mean it's not like Blissymbols,825090.0,826349.0
1,had caught on elsewhere (L: nope),826350.0,828209.0
1,and I think that kind of speaks to this hope this,828210.0,830219.0
1,kind of seductive hope especially when,830220.0,831839.0
1,it comes to visual communication even,831840.0,833699.0
1,beyond auditory communication that if,833700.0,836009.0
1,only we could just like get the right,836010.0,838379.0
1,graphic designer we could just kind of,838380.0,840089.0
1,think this through,840090.0,841559.0
1,we could figure out ways to just,841560.0,843419.0
1,intuitively represent every single,843420.0,845609.0
1,possible meaning in an immediately,845610.0,847289.0
1,obvious sequence of little pictures that,847290.0,850139.0
1,all humans will understand instantly and you,850140.0,851819.0
1,won't have to learn anything and I get,851820.0,854009.0
1,this when it comes to emoji a lot because,854010.0,855809.0
1,I do a lot of emoji interviews and stuff and some,855810.0,857399.0
1,people say 'oh yeah emoji they're this,857400.0,858839.0
1,universal language that you can,858840.0,860129.0
1,understand immediately' and I think it's,860130.0,862589.0
1,a similar problem that there's a lot in,862590.0,865049.0
1,emoji that is culturally specific or,865050.0,867599.0
1,that is not universally understandable,867600.0,869849.0
1,and there's also a lot of meanings you,869850.0,871829.0
1,can't convey an emoji because they aren't,871830.0,873779.0
1,very easily picture-able,873780.0,875519.0
1,L: it's like those times that people are like 'this thing,875520.0,877349.0
1,got translated into emoji' and you're like,877350.0,879539.0
1,'great translate it back out of emoji,879540.0,881399.0
1,why don't you?',881400.0,882539.0
1,G: yeah you translate something into,882540.0,883919.0
1,emoji and then when you translate it,883920.0,886169.0
1,back it completely loses its meaning or you,886170.0,888179.0
1,have to already understand what the,888180.0,889679.0
1,source text was. Tthe other thing is,889680.0,891179.0
1,people sometimes have,891180.0,892289.0
1,a challenge where they'll communicate,892290.0,893698.0
1,just in emoji for a day or a week or a,893699.0,897088.0
1,month or something and they all come,897089.0,898768.0
1,back and they're like' yeah you know it,898769.0,900388.0
1,was pretty easy to convey if I was happy,900389.0,902159.0
1,or sad but it was really hard to say,902160.0,904229.0
1,like actual sentences about things going,904230.0,906539.0
1,on in the world or ideas that I had',906540.0,908278.0
1,because - my favorite one is someone tried,908279.0,911879.0
1,to do this and they said at the end 'I,911880.0,913948.0
1,was missing grammar' I said 'thank you',913949.0,916469.0
1,because that's what emoji don't have,916470.0,918599.0
1,L: or sometimes you find that people do -,918600.0,921299.0
1,you find like temporary emergent,921300.0,923219.0
1,communicative norms that will arise in,923220.0,926099.0
1,these contexts where people are trying,926100.0,927719.0
1,to use things,927720.0,928948.0
1,G: yeah so for example one of the issues,928949.0,931349.0
1,that comes up with emoji is how do you,931350.0,934049.0
1,convey 'I' as in the subject of a sentence?,934050.0,936958.0
1,you know 'i would like you to do this' or,936959.0,939299.0
1,'I'm going to the store now' and so what,939300.0,941999.0
1,people will sometimes do is they'll pick,942000.0,943528.0
1,an emoji like a person emoji that looks,943529.0,945448.0
1,"kind of like them and they will say 'okay great,",945449.0,947099.0
1,this one stands for me' you know so they'll pick,947100.0,948989.0
1,the man or the woman they will put the,948990.0,950189.0
1,skin tone modifier on it and like,950190.0,951809.0
1,'okay that stands for me' but the only,951810.0,953698.0
1,reason that the other person knows,953699.0,956159.0
1,you're using that to stand for you is,956160.0,957419.0
1,because you've developed this convention,957420.0,958799.0
1,otherwise it could be a person who looks,958800.0,960809.0
1,like this who is not necessarily me,960810.0,962909.0
1,who does this,962910.0,963599.0
1,and this is a pretty basic concept that,963600.0,965129.0
1,we just have a massive difficulty,965130.0,967078.0
1,communicating with emoji,967079.0,968759.0
1,"L: and we also are really, I mean we're not lazy, we just use",968760.0,970679.0
1,the linguistic structures that we have,970680.0,972208.0
1,of course it's 'person' and then 'bus',972209.0,974489.0
1,because English is 'I am on the bus',974490.0,977729.0
1,"G: right, but in other languages you can have like",977730.0,979439.0
1,"'bus, I am on it' or something like that",979440.0,982078.0
1,L: I enjoy whatever anyone's like 'look we,982079.0,983578.0
1,"made sentences in emoji', I love",983579.0,985138.0
1,sitting there and like translating them,985139.0,986698.0
1,really badly,986699.0,987509.0
1,yeah I issued a challenge on Twitter a,987510.0,989939.0
1,while back which was if you want to,989940.0,991888.0
1,assert that emoji are language that's,991889.0,993689.0
1,fine you just have to do that in emoji,993690.0,995169.0
1,L: oh snap,995170.0,995919.0
1,G: yeah and you have to like,995920.0,998159.0
1,make someone who doesn't know that's,998160.0,999989.0
1,what you're intending be able to read,999990.0,1001909.0
1,that sentence because any language that,1001910.0,1004159.0
1,"we have, you know, even Esperanto, I don't",1004160.0,1006049.0
1,know maybe in these Blissymbolics can,1006050.0,1007609.0
1,assert that it's a language like there's,1007610.0,1009198.0
1,a way to say in Esperanto 'Esperanto is a language',1009199.0,1011179.0
1,L: yeah,1011180.0,1011679.0
1,G: and so I got all these,1011680.0,1013338.0
1,responses and you read them and I was,1013339.0,1016039.0
1,you know having a lot of fun providing,1016040.0,1017688.0
1,naive interpretations of them something,1017689.0,1019578.0
1,"like 'I get happy when I sing the alphabet song', you know?'",1019579.0,1022359.0
1,L: so not that successful,1022360.0,1023958.0
1,so far,1023959.0,1025039.0
1,"G: not that successful so far, and I don't",1025040.0,1026839.0
1,think it's for lack of creativity I,1026840.0,1028279.0
1,think it's because that's not what emoji,1028280.0,1030559.0
1,are designed to communicate that's not what,1030560.0,1032629.0
1,obvious pictures are designed to,1032630.0,1033619.0
1,communicate there's a limit to how much,1033620.0,1035449.0
1,meaning can be obvious because we have,1035450.0,1038119.0
1,all these abstract things that we mean,1038120.0,1041299.0
1,and lots of stuff that we talk about is not picture-able,1041300.0,1044619.0
1,L: I get this a lot as well,1044620.0,1046459.0
1,when I talk to people about gesture and,1046460.0,1049309.0
1,people are like 'ah gestures are like the,1049310.0,1051679.0
1,great universal thing that humans have',1051680.0,1054289.0
1,'you know when I travel I don't learn to,1054290.0,1056569.0
1,speak the local language because of we,1056570.0,1058369.0
1,can get by with gesturing' and I'm like,1058370.0,1060499.0
1,"well, yes, you can get by with gesturing",1060500.0,1064099.0
1,if all you want to do is point at things,1064100.0,1065479.0
1,and be a bit obnoxious but actually,1065480.0,1067699.0
1,beyond the fact that as far as we can,1067700.0,1069559.0
1,tell every society seems to have,1069560.0,1072529.0
1,gestures a lot of what we presume is,1072530.0,1074989.0
1,universal about gesture is partly based,1074990.0,1077419.0
1,on this iconicity so that's something,1077420.0,1079219.0
1,that ties it to emoji and Blissymbols,1079220.0,1081619.0
1,"in a way, because there's some",1081620.0,1082759.0
1,relationship between the gesture or the,1082760.0,1085249.0
1,emoji and the thing it's representing or,1085250.0,1088009.0
1,referring to,1088010.0,1088999.0
1,G: yes so if you like if you put your hand,1089000.0,1090949.0
1,up to your mouth that conveys eating or,1090950.0,1093289.0
1,drinking or something because when you,1093290.0,1094699.0
1,"eat you put things in your mouth, so of",1094700.0,1096259.0
1,course that's what it means,1096260.0,1097489.0
1,L: in the way a smiley emoji resembles the way your,1097490.0,1100459.0
1,lips curl up when you're happy,1100460.0,1101959.0
1,this kind of visuality of it makes,1101960.0,1104239.0
1,people think well I can understand it so,1104240.0,1106189.0
1,it must be universal but more and more,1106190.0,1108469.0
1,we look at the way different cultures,1108470.0,1110059.0
1,gesture - even something as simple as,1110060.0,1111649.0
1,pointing. We for a long time for that,1111650.0,1113539.0
1,index finger pointing was the the,1113540.0,1115609.0
1,default universal way to point. And in fact,1115610.0,1117559.0
1,we now know cultures point with their,1117560.0,1118789.0
1,"lip. Um, we know that some people in",1118790.0,1122209.0
1,some cultures because of various,1122210.0,1123919.0
1,taboos or because of style preferences,1123920.0,1125539.0
1,will point with their eyes or their,1125540.0,1127129.0
1,eyebrows and there's a whole collection,1127130.0,1128869.0
1,of different handshapes you can use to,1128870.0,1130909.0
1,point in indigenous communities in,1130910.0,1132889.0
1,Central Australia so people will point,1132890.0,1135949.0
1,with an open hand which means a,1135950.0,1137959.0
1,"collection, I'm pointing at a collection of",1137960.0,1139639.0
1,things and also there's taboos in,1139640.0,1141559.0
1,"some communities on pointing, or pointing",1141560.0,1143719.0
1,"with the index finger, or pointing with the",1143720.0,1145429.0
1,left hand instead of the right hand,1145430.0,1147229.0
1,G: and you know even even in English point with,1147230.0,1149149.0
1,your middle finger can sometimes,1149150.0,1151309.0
1,L: in Nepal where I spend a lot of time,1151310.0,1153649.0
